,Rank,PLAYER,TEAM,P,GS,MIN,G,ASST,SHOTS,SOG,Unnamed: 10
36,37,Reece James,Chelsea,CHE,2,2,180,1,1,1,1
37,38,Kurt Zouma,Chelsea,CHE,2,2,180,1,0,2,2
38,39,Aaron Anthony Connolly,Brighton and Hove Albion,BHA,2,1,134,1,0,4,2
39,40,Donny van de Beek,Manchester United,MUN,1,0,23,1,0,1,1
40,41,Jimmy Dunne,Burnley,BRN,1,1,90,1,0,2,1
41,42,Chris Wood,Burnley,BRN,1,1,90,1,0,3,2
42,43,Ezri Konsa Ngoyo,Aston Villa,AVL,1,1,90,1,0,1,1
43,44,Kevin De Bruyne,Manchester City,MCI,1,1,90,1,1,4,4
44,45,Phil Foden,Manchester City,MCI,1,1,90,1,0,2,1
45,46,Gabriel Fernando de Jesus,Manchester City,MCI,1,1,90,1,0,3,3
46,47,Michael Hector,Fulham,FUL,2,2,180,0,0,0,0
47,48,Willian Borges Da Silva,Arsenal,ARS,2,2,139,0,2,2,1
48,49,Héctor Bellerín,Arsenal,ARS,2,2,180,0,0,0,0
49,50,Tom Cairney,Fulham,FUL,1,1,90,0,0,0,0
50,51,Dani Ceballos,Arsenal,ARS,2,1,102,0,1,0,0
51,52,Mohamed Naser Elsayed Elneny,Arsenal,ARS,1,1,90,0,0,0,0
52,53,Rob Holding,Arsenal,ARS,2,2,180,0,0,0,0
53,54,Sead Kolašinac,Arsenal,ARS,1,1,90,0,0,0,0
54,55,Bernd Leno,Arsenal,ARS,2,2,180,0,0,0,0
55,56,Matt Macey,Arsenal,ARS,0,0,0,0,0,0,0
56,57,Ainsley Maitland-Niles,Arsenal,ARS,1,1,90,0,0,0,0
57,58,Nicolas Pépé,Arsenal,ARS,2,0,41,0,0,0,0
58,59,Bukayo Saka,Arsenal,ARS,1,1,89,0,0,1,0
59,60,Kieran Tierney,Arsenal,ARS,1,1,90,0,0,0,0
60,61,Joseph Willock,Arsenal,ARS,0,0,0,0,0,0,0
61,62,Granit Xhaka,Arsenal,ARS,2,2,168,0,0,2,0
62,63,Alphonse Areola,Fulham,FUL,1,1,90,0,0,0,0
63,64,Joe Bryan,Fulham,FUL,2,2,180,0,0,1,0
64,65,Ivan Cavaleiro,Fulham,FUL,2,2,180,0,0,0,0
65,66,Aboubakar Kamara,Fulham,FUL,2,2,121,0,0,1,0
66,67,Neeskens Kebano,Fulham,FUL,2,1,95,0,0,1,0
67,68,Anthony Knockaert,Fulham,FUL,0,0,0,0,0,0,0
