,Rank,PLAYER,TEAM,P,GS,MIN,G,ASST,SHOTS,SOG,Unnamed: 10
151,152,Mark Noble,West Ham United,WHU,1,1,67,0,0,0,0
152,153,Angelo Ogbonna,West Ham United,WHU,2,2,180,0,0,2,1
153,154,Felipe Anderson Pereira Gomes,West Ham United,WHU,2,0,2,0,0,0,0
154,155,Darren Randolph,West Ham United,WHU,0,0,0,0,0,0,0
155,156,Declan Rice,West Ham United,WHU,2,2,180,0,0,0,0
156,157,Tomas Soucek,West Ham United,WHU,2,2,180,0,0,3,0
157,158,Joelinton Cássio Apolinário de Lira,Newcastle United,NEW,2,0,33,0,0,0,0
158,159,Andy Carroll,Newcastle United,NEW,2,2,133,0,0,2,0
159,160,Karl Darlow,Newcastle United,NEW,2,2,180,0,0,0,0
160,161,Federico Fernández,Newcastle United,NEW,2,2,180,0,0,0,0
161,162,Ryan Fraser,Newcastle United,NEW,1,0,57,0,0,0,0
162,163,Mark Gillespie,Newcastle United,NEW,0,0,0,0,0,0,0
163,164,Emil Krafth,Newcastle United,NEW,0,0,0,0,0,0,0
164,165,Jamaal Lascelles,Newcastle United,NEW,2,2,180,0,0,1,0
165,166,Jamal Lewis,Newcastle United,NEW,2,2,179,0,0,0,0
166,167,Sean Longstaff,Newcastle United,NEW,1,0,2,0,0,0,0
167,168,Matt Ritchie,Newcastle United,NEW,0,0,0,0,0,0,0
168,169,Allan Saint-Maximin,Newcastle United,NEW,2,2,108,0,0,1,0
169,170,Jonjo Shelvey,Newcastle United,NEW,2,2,162,0,0,2,0
170,171,Nampalys Mendy,Leicester City,LEI,2,2,180,0,0,0,0
171,172,Oluwasemilogo Adesewo Ibidapo Ajayi,West Bromwich Albion,WBA,2,2,180,0,0,0,0
172,173,Charlie Austin,West Bromwich Albion,WBA,0,0,0,0,0,0,0
173,174,Kyle Bartley,West Bromwich Albion,WBA,2,2,180,0,0,0,0
174,175,David Button,West Bromwich Albion,WBA,0,0,0,0,0,0,0
175,176,Kyle Edwards,West Bromwich Albion,WBA,2,0,41,0,0,0,0
176,177,Darnell Furlong,West Bromwich Albion,WBA,2,2,159,0,0,0,0
177,178,Kieran Gibbs,West Bromwich Albion,WBA,2,2,135,0,0,0,0
178,179,Kamil Grosicki,West Bromwich Albion,WBA,0,0,0,0,0,0,0
179,180,Rekeem Harper,West Bromwich Albion,WBA,1,0,21,0,0,0,0
180,181,Ahmed Hegazi,West Bromwich Albion,WBA,0,0,0,0,0,0,0
181,182,Sam Johnstone,West Bromwich Albion,WBA,2,2,180,0,0,0,0
182,183,Jake Livermore,West Bromwich Albion,WBA,2,2,180,0,0,1,0
183,184,Dara O'Shea,West Bromwich Albion,WBA,2,2,180,0,0,0,0
184,185,Callum Robinson,West Bromwich Albion,WBA,2,2,150,0,0,1,1
185,186,Hal Robson-Kanu,West Bromwich Albion,WBA,1,0,30,0,0,1,0
186,187,Romaine Sawyers,West Bromwich Albion,WBA,2,2,143,0,0,0,0
187,188,Marc Albrighton,Leicester City,LEI,2,0,30,0,0,0,0
188,189,Hamza Choudhury,Leicester City,LEI,0,0,0,0,0,0,0
189,190,Christian Fuchs,Leicester City,LEI,0,0,0,0,0,0,0
190,191,Kelechi Iheanacho,Leicester City,LEI,0,0,0,0,0,0,0
191,192,James Maddison,Leicester City,LEI,2,0,43,0,0,0,0
192,193,Onyinye Wilfred Ndidi,Leicester City,LEI,2,2,180,0,0,0,0
193,194,Ayoze Pérez,Leicester City,LEI,2,2,129,0,0,0,0
194,195,Kasper Schmeichel,Leicester City,LEI,2,2,180,0,0,0,0
195,196,Çağlar Söyüncü,Leicester City,LEI,2,2,180,0,0,1,0
196,197,Luke Thomas,Leicester City,LEI,0,0,0,0,0,0,0
197,198,Youri Tielemans,Leicester City,LEI,2,2,180,0,0,2,2
198,199,Danny Ward,Leicester City,LEI,0,0,0,0,0,0,0
199,200,Lucas Digne,Everton,EVE,2,2,180,0,1,0,0
200,201,Pierre-Emile Højbjerg,Tottenham Hotspur,TOT,2,2,180,0,0,0,0
201,202,Bernard Anício Caldeira Duarte,Everton,EVE,0,0,0,0,0,0,0
202,203,Toby Alderweireld,Tottenham Hotspur,TOT,1,1,90,0,0,0,0
203,204,Dele Alli,Tottenham Hotspur,TOT,1,1,45,0,0,1,1
204,205,Séamus Coleman,Everton,EVE,2,2,180,0,0,1,1
205,206,Serge Aurier,Tottenham Hotspur,TOT,0,0,0,0,0,0,0
206,207,Steven Bergwijn,Tottenham Hotspur,TOT,2,0,36,0,0,0,0
